"Priority","Page_or_Scope","Workstream","Implementation_Needed","Owner","Dependency","Validation","Status","Notes"
"P1","https://cashahnawaz.com/itr-filing-for-event-management-and-entertainment-professionals/","Industry content","Verify TDS/GST/expense examples; add event-specific records, reviewer and CTA","CA + Content","CA review","Approved current content; main service link","Not started",""
"P1","https://cashahnawaz.com/itr-filing-for-e-commerce-industry/","Industry content/links","Replace obsolete Food URL; review marketplace/GST/TCS claims; add reviewer and CTA","CA + Content + SEO","CA review","No 404 links; approved current content","Not started",""
"P1","https://cashahnawaz.com/itr-filing-for-real-estate-construction/","Industry content/links","Keep as canonical Real Estate page; replace obsolete -industry variant links; add reviewer and CTA","CA + Content + SEO","None","One canonical owner; no 404 links","Not started",""
"P1","https://cashahnawaz.com/mca-extension-due-date-of-annual-filling/","Freshness","Label as historical FY 2020-21 or consolidate into a current ROC resource; correct title/meta","CA + Content + SEO","CA review","No false current framing","Not started",""
"P1","https://cashahnawaz.com/charitable-trusts-alert-its-time-reapply-for-tax-exemption-before-30th-sep/","Freshness","Update expired September 2025 treatment or clearly archive; link to current 12AB/80G page","CA + Content","CA review","No expired date presented as current","Not started",""
"P1","https://cashahnawaz.com/gst-new-update-due-dates-for-october-2021/","Freshness","Mark as historical October 2021 calendar or remove from current discovery surfaces","CA + Content + SEO","CA review","Historical label and correct index/navigation treatment","Not started",""
"P2","https://cashahnawaz.com/due-date-calendar-for-the-month-of-november-2022/","Freshness","Archive as November 2022; consider noindex if no continuing value; remove from current widgets","Content + SEO","Traffic review","Clear archive treatment","Not started",""
"P2","https://cashahnawaz.com/gst-amnesty-scheme-2023/","Freshness","Add expired-scheme notice and historical context; evaluate separate current article","CA + Content","CA review","No expired scheme presented as open","Not started",""
"P2","https://cashahnawaz.com/memorandum-explaining-the-provisions-in-the-finance-bill-2023/","Freshness/links","Preserve as historical analysis; repair/remove broken MSME link","Content + SEO","Confirm MSME destination","No broken link; historical context","Not started",""
"P2","https://cashahnawaz.com/the-best-accounting-software-for-small-businesses-in-2023/","Freshness","Refresh product comparison with current review date or label as 2023 archive","Content","Product review","Accurate products and visible review date","Not started",""
"RECURRING","https://cashahnawaz.com/june-2026-important-due-dates/","Freshness governance","Keep month immutable; after expiry add historical notice and current-hub link","CA + Content","Monthly review","Month/year stays accurate","Scheduled",""
"RECURRING","https://cashahnawaz.com/due-date/july/ and /due-date/august/","Freshness governance","Use annual controlled update with reviewed date and archive policy","CA + Content","Annual calendar","Year/title/H1 are current and consistent","Scheduled",""
"RECURRING","https://cashahnawaz.com/tds-chart-for-fy-2026-27/","Freshness governance","Review before each FY; retain FY-specific archive when a new chart is published","CA + Content","Annual CA review","Correct FY and reviewed date","Scheduled",""
"P2","https://cashahnawaz.com/gst-registration-services-india-a-guide-to-gst/","Canonical/duplication","301 to main GST Registration page if redundant; otherwise self-canonical HTTPS, differentiate guide and sitemap it","SEO + WordPress","Content-value decision","One canonical owner; GSC agrees","Not started",""
"P2","https://cashahnawaz.com/?jkit-ajax-request=jkit_elements","Crawl control","Stop indexable Elementor/JKit AJAX page generation; use non-indexable response/removal signal","WordPress developer","Plugin/template diagnosis","Not indexable and absent from internal discovery","Not started",""
"P2","https://cashahnawaz.com/mca/ and /donation/","Thin archives","Build useful maintained hubs or noindex/remove from sitemap","SEO + Content","Content strategy decision","Index directive and sitemap match purpose","Not started",""
"P2","https://cashahnawaz.com/trademark-classes/","Broken link","Replace/remove broken online-trust-registration link","Content + SEO","Choose relevant destination","No broken or misleading link","Not started",""
"P2","https://cashahnawaz.com/bombay-hc-gst-bank-recovery-notice/ and /madras-high-court-gst-notice-service-judgment/","Broken asset","Restore correct PDF or replace with authoritative source/remove link","CA + Content","Confirm correct source/licensing","Citation target returns 200 and matches claim","Not started",""
"P2","NEW: https://cashahnawaz.com/llp-registration/","New service page","Create only if actively offered; distinguish formation from annual filing","Owner + CA + Content + SEO","Service confirmation","Original complete page; Service schema; internal links","Not started",""
"P2","NEW: https://cashahnawaz.com/roc-annual-compliance/","New service hub","Create company/OPC/Section 8 compliance hub with entity-specific scope","Owner + CA + Content + SEO","Service confirmation","Approved hub linked from entity pages","Not started",""
"P2","NEW: https://cashahnawaz.com/gst-compliance-services/","New service page","Create only if distinct from return filing; cover ongoing compliance/consultancy","Owner + CA + Content + SEO","Scope differentiation","No cannibalization with GST Return page","Not started",""
"P2","NEW: https://cashahnawaz.com/internal-audit-services/","New service page","Create only if actively delivered; document scope, process, deliverables and credentials","Owner + CA + Content + SEO","Service confirmation","Original evidence-based service page","Not started",""
"P2","NEW: https://cashahnawaz.com/tax-consultancy-services/","New service hub","Create ongoing advisory/compliance hub without duplicating homepage or ITR pages","Owner + CA + Content + SEO","Service confirmation","Distinct query intent and internal-link role","Not started",""
