URL,Page Type,Priority Tier,Live Fetch Attempted,Fetch Result,HTTP Status If Available,Indexability Evidence,Canonical Evidence,Title Evidence,H1 Evidence,Notes
https://cashahnawaz.com/tds-return-filing-services/,Service Page (GST/Tax Compliance),Tier 1,Yes,PARTIALLY VERIFIED — loaded successfully (Batch A fetch); title not surfaced,DATA NOT AVAILABLE (no raw header tool),Meta robots NOT VISIBLE (tool limitation),NOT VISIBLE (tool limitation),NOT VISIBLE — not surfaced despite the extraction attempt (unlike sibling pages in same batch),"""TDS Return Filing Services""",lastmod 2026-07-22; Tier 1 priority service page (TDS/GST compliance — CLAUDE.md priority)
https://cashahnawaz.com/12a-or-12aa-or-80g-registration-new-scheme/,Service Page (Registration & Compliance - NGO Registration),Tier 1,Yes,PARTIALLY VERIFIED — loaded successfully (Batch A fetch); title not surfaced; H1 narrower than page topic,DATA NOT AVAILABLE (no raw header tool),Meta robots NOT VISIBLE (tool limitation),NOT VISIBLE (tool limitation),NOT VISIBLE,"""12A Registration Online"" — notably narrower than page scope; H1 omits ""80G""/""12AA"" despite body covering both per H2 list","lastmod 2026-07-22; Tier 1 — maps to NGO Registration (CLAUDE.md priority); H1/topic-scope mismatch is an on-page-seo candidate, not scored here"
https://cashahnawaz.com/about-us/,About,Tier 2,Yes,PARTIALLY VERIFIED — loaded successfully (Phase 0 fetch); title not confirmed in notes,DATA NOT AVAILABLE (no raw header tool),200-equivalent; meta robots NOT VISIBLE (tool limitation),NOT VISIBLE (tool limitation),Not confirmed in Phase 0 evidence files,Not recorded in Phase 0 evidence files,"lastmod 2026-06-27; rendered content included apparent placeholder statistics (""0 completed projects, 0% satisfaction rate"") per site-inventory-notes.md — raw observation only, not scored here"
https://cashahnawaz.com/contact-us/,Contact,Tier 2,Yes,PARTIALLY VERIFIED — loaded successfully (Phase 0 fetch); title not confirmed in notes,DATA NOT AVAILABLE (no raw header tool),200-equivalent; meta robots NOT VISIBLE (tool limitation),NOT VISIBLE (tool limitation),Not confirmed in Phase 0 evidence files,Not recorded in Phase 0 evidence files,"lastmod 2026-07-22; physical address confirmed as plain text; no map embed found; no WhatsApp link found (conversion-entry-points.md)"
https://cashahnawaz.com/trademark-registration/,Service Page (Other - Trademark),Tier 2,Yes,PARTIALLY VERIFIED — loaded successfully (Batch A fetch); title not surfaced; content-type ambiguous,DATA NOT AVAILABLE (no raw header tool),Meta robots NOT VISIBLE (tool limitation),NOT VISIBLE — notably absent unlike several sibling pages in same batch,NOT VISIBLE,"""Trademark Registration Process"" — single coherent article-style content with a visible 18/02/2022 publish date and ""0 Comments""; not a multi-item listing but also lacks typical service-page structure (no pricing/FAQ)","lastmod 2026-07-22 (page); SAME URL also listed in category-sitemap.xml with lastmod 2026-05-06 — see TECH finding on the trademark-registration collision. See phase-1a-sitemap-audit.md for full reasoning (LIKELY conclusion)"
https://cashahnawaz.com/blogs/,Other (Blog Index),Tier 2,Yes,PARTIALLY VERIFIED — loaded successfully (Batch A fetch); title not surfaced; confirmed genuine archive,DATA NOT AVAILABLE (no raw header tool),Meta robots NOT VISIBLE (tool limitation),NOT VISIBLE (tool limitation),NOT VISIBLE,"""Latest Blogs""",lastmod 2026-06-05; confirmed as genuine 19-page blog listing/archive; not a collision case
https://cashahnawaz.com/tax-guides/,Other (Tax Guides Index),Tier 2,Yes,VERIFIED — loaded successfully (Batch A fetch); title and H1 both captured,DATA NOT AVAILABLE (no raw header tool),Meta robots NOT VISIBLE (tool limitation),NOT VISIBLE (tool limitation),"""Complete Tax Guides For Individuals & Businesses | Shahnawaz And Associates""","""Tax Guides"" — 7 tax guide articles listed",lastmod 2026-08-19; confirmed genuine listing/archive page
https://cashahnawaz.com/tax-case-law/,Other (Case Law Index),Tier 2,Yes,PARTIALLY VERIFIED — loaded successfully (Batch A fetch); only 1 of ~19 expected case-law items surfaced,DATA NOT AVAILABLE (no raw header tool),Meta robots NOT VISIBLE (tool limitation),NOT VISIBLE (tool limitation),"""Indian Tax Case Laws | Income Tax Judgments & Case Studies""","""Tax Case Law""",lastmod 2026-08-21; only the Sachin Tendulkar ITAT case study was surfaced despite ~19 case-law URLs existing in the sitemap — not confirmed whether this is a genuine under-population or an extraction limitation; recommend follow-up
https://cashahnawaz.com/itr-filing-for-healthcare-industry/,Service Page (Income Tax - Industry Segment),Tier 2,Yes,VERIFIED — loaded successfully (Batch A fetch); title and H1 both captured,DATA NOT AVAILABLE (no raw header tool),Meta robots NOT VISIBLE (tool limitation),NOT VISIBLE (tool limitation),"""ITR Filing For Doctors, Hospitals & Clinics | CA Shahnawaz""","""ITR Filing for Healthcare Industry — Doctors, Hospitals & Clinics"" — 19 numbered H2 sections",lastmod 2026-07-19; uses the newer ""Income Tax Act 2025"" template pattern; title/H1 phrasing differs
https://cashahnawaz.com/itr-filing-for-beauty-wellness-industry/,Service Page (Income Tax - Industry Segment),Tier 2,Yes,VERIFIED — loaded successfully (Batch A fetch); title and H1 both captured,DATA NOT AVAILABLE (no raw header tool),Meta robots NOT VISIBLE (tool limitation),NOT VISIBLE (tool limitation),"""ITR Filing for Beauty & Wellness Industry (Salons, Spas, Gyms, Makeup Artists) | Shahnawaz and Associates""","""ITR Filing for Beauty & Wellness Industry — Salons, Spas, Gyms & Makeup Artists"" — 19 H2 sections",lastmod 2026-07-09; uses the newer ""Income Tax Act 2025"" template pattern
https://cashahnawaz.com/itr-filing-for-e-commerce-industry/,Service Page (Income Tax - Industry Segment),Tier 2,Yes,VERIFIED — loaded successfully (Batch A fetch); title and H1 both captured,DATA NOT AVAILABLE (no raw header tool),Meta robots NOT VISIBLE (tool limitation),NOT VISIBLE (tool limitation),"""ITR Filing for E-commerce Business | Enquiry Now"" — notably generic/CTA-style vs. sibling titles","""ITR Filing for E-Commerce Industry — Marketplace Sellers, D2C Brands & Digital Businesses""",lastmod 2026-07-09; uses the newer ""Income Tax Act 2025"" template pattern; title diverges from H1 more than siblings
https://cashahnawaz.com/itr-filing-for-real-estate-construction/,Service Page (Income Tax - Industry Segment),Tier 2,Yes,VERIFIED — loaded successfully (Batch A fetch); title and H1 both captured,DATA NOT AVAILABLE (no raw header tool),Meta robots NOT VISIBLE (tool limitation),NOT VISIBLE (tool limitation),"""ITR Filing for Real Estate & Construction Industry (Builders, Developers, Contractors) | Shahnawaz and Associates""","""ITR Filing for Real Estate & Construction — Builders, Developers & Contractors"" — 21 H2 sections",lastmod 2026-07-09; uses the newer ""Income Tax Act 2025"" template pattern; full internal href paths confirmed matching sitemap slugs
https://cashahnawaz.com/itr-filing-for-wholesale-retail-trade-industry/,Service Page (Income Tax - Industry Segment),Tier 2,Yes,VERIFIED — loaded successfully (Batch A fetch); title and H1 both captured,DATA NOT AVAILABLE (no raw header tool),Meta robots NOT VISIBLE (tool limitation),NOT VISIBLE (tool limitation),"""ITR Filing for Wholesale & Retail Trade Industry | Shahnawaz and Associates""","""ITR Filing for Wholesale & Retail Trade Industry — Traders, Distributors & Retailers""",lastmod 2026-07-09; uses the newer ""Income Tax Act 2025"" template pattern
https://cashahnawaz.com/itr-filing-for-crypto-trading-in-india/,Service Page (Income Tax - Industry Segment),Tier 2,Yes,VERIFIED — loaded successfully (Batch A fetch); title and H1 both captured,DATA NOT AVAILABLE (no raw header tool),Meta robots NOT VISIBLE (tool limitation),NOT VISIBLE (tool limitation),"""Taxation of Crypto Trading in India (AY 2026-27) — Complete Guide | Shahnawaz & Associates""","""Taxation of Crypto Trading in India: The Complete, No-Jargon Guide""",lastmod 2026-07-09; title/H1 framed as ""Taxation of..."" rather than ""ITR Filing for..."" — naming-pattern deviation vs. URL slug and sibling pages
https://cashahnawaz.com/itr-filing-for-food-and-beverage-industry/,Service Page (Income Tax - Industry Segment),Tier 2,Yes,VERIFIED — loaded successfully (Batch A fetch); title and H1 both captured,DATA NOT AVAILABLE (no raw header tool),Meta robots NOT VISIBLE (tool limitation),NOT VISIBLE (tool limitation),"""ITR Filing for Food & Beverage Industry (Restaurants, Cloud Kitchens, Caterers) | Shahnawaz and Associates""","""ITR Filing for Food & Beverage Industry — Restaurants, Cloud Kitchens & Caterers"" — 19 H2 sections",lastmod 2026-07-09; uses the newer ""Income Tax Act 2025"" template pattern
https://cashahnawaz.com/itr-filing-for-event-management-and-entertainment-professionals/,Service Page (Income Tax - Industry Segment),Tier 2,Yes,VERIFIED — loaded successfully (Batch A fetch); title and H1 both captured,DATA NOT AVAILABLE (no raw header tool),Meta robots NOT VISIBLE (tool limitation),NOT VISIBLE (tool limitation),"""Complete Guide To ITR Filing For Event Management & Entertainment Professionals - Shahnawaz And Associates""","""Complete Guide to ITR Filing for Event Management & Entertainment Professionals""",lastmod 2026-07-09; uses the OLDER/shorter template pattern (Introduction/Who Should File/5 Case Laws) unlike 7 sibling ITR industry pages — see WP finding on template inconsistency
https://cashahnawaz.com/itr-filing-for-content-creators-influencers/,Service Page (Income Tax - Industry Segment),Tier 2,Yes,VERIFIED — loaded successfully (Batch A fetch); title and H1 both captured,DATA NOT AVAILABLE (no raw header tool),Meta robots NOT VISIBLE (tool limitation),NOT VISIBLE (tool limitation),"""ITR Filing For Content Creators & Influencers | Shahnawaz And Associates""","""ITR Filing for Content Creators & Influencers""",lastmod 2026-07-09; uses the OLDER/shorter template pattern (same as Event Management page) — see WP finding on template inconsistency
https://cashahnawaz.com/privacy-and-policy/,Legal Page,Not Prioritized,No,NOT VERIFIED — Not attempted this phase.,DATA NOT AVAILABLE (no raw header tool),Listed in XML sitemap (not individually verified),Listed in XML sitemap only — not individually verified this session,Listed in XML sitemap only — not individually verified this session,Listed in XML sitemap only — not individually verified this session,lastmod 2026-08-10
https://cashahnawaz.com/career/,Other,Not Prioritized,No,NOT VERIFIED — Not attempted this phase.,DATA NOT AVAILABLE (no raw header tool),Listed in XML sitemap (not individually verified),Listed in XML sitemap only — not individually verified this session,Listed in XML sitemap only — not individually verified this session,Listed in XML sitemap only — not individually verified this session,lastmod 2024-03-20
https://cashahnawaz.com/trademark-classes/,Other,Not Prioritized,No,NOT VERIFIED — Not attempted this phase.,DATA NOT AVAILABLE (no raw header tool),Listed in XML sitemap (not individually verified),Listed in XML sitemap only — not individually verified this session,Listed in XML sitemap only — not individually verified this session,Listed in XML sitemap only — not individually verified this session,lastmod 2024-01-09
https://cashahnawaz.com/due-date/,Other (Compliance Calendar Tool),Not Prioritized,No,NOT VERIFIED — Not attempted this phase.,DATA NOT AVAILABLE (no raw header tool),Listed in XML sitemap (not individually verified),Listed in XML sitemap only — not individually verified this session,Listed in XML sitemap only — not individually verified this session,Listed in XML sitemap only — not individually verified this session,lastmod 2026-08-10
https://cashahnawaz.com/due-date/july/,Other (Compliance Calendar Tool),Not Prioritized,No,NOT VERIFIED — Not attempted this phase.,DATA NOT AVAILABLE (no raw header tool),Listed in XML sitemap (not individually verified),Listed in XML sitemap only — not individually verified this session,Listed in XML sitemap only — not individually verified this session,Listed in XML sitemap only — not individually verified this session,lastmod 2026-08-06
https://cashahnawaz.com/due-date/august/,Other (Compliance Calendar Tool),Not Prioritized,No,NOT VERIFIED — Not attempted this phase.,DATA NOT AVAILABLE (no raw header tool),Listed in XML sitemap (not individually verified),Listed in XML sitemap only — not individually verified this session,Listed in XML sitemap only — not individually verified this session,Listed in XML sitemap only — not individually verified this session,lastmod 2026-08-06
https://cashahnawaz.com/tax-guides/fast-ds-foreign-assets-disclosure-scheme/,Blog/Article (Tax Guide),Tier 3,Yes,PARTIALLY VERIFIED — loaded successfully (Batch C fetch); title and H1 not confidently captured,DATA NOT AVAILABLE (no raw header tool),Meta robots NOT VISIBLE (tool limitation),NOT VISIBLE (tool limitation),NOT VISIBLE,Only a body paragraph was returned in place of a clean H1; true H1 text unconfirmed,lastmod 2026-08-21; content vintage (references 16 Aug/14 Aug/18 Aug 2026 events) consistent with lastmod
https://cashahnawaz.com/tax-guides/capital-gains-pre-and-post-23rd-july/,Blog/Article (Tax Guide),Tier 3,No,NOT VERIFIED — Not attempted this phase.,DATA NOT AVAILABLE (no raw header tool),Listed in XML sitemap (not individually verified),Listed in XML sitemap only — not individually verified this session,Listed in XML sitemap only — not individually verified this session,Listed in XML sitemap only — not individually verified this session,lastmod 2026-08-11
https://cashahnawaz.com/tax-guides/cbdt-aeoi-order-2026-foreign-assets-in-ais-form-26as/,Blog/Article (Tax Guide),Tier 3,No,NOT VERIFIED — Not attempted this phase.,DATA NOT AVAILABLE (no raw header tool),Listed in XML sitemap (not individually verified),Listed in XML sitemap only — not individually verified this session,Listed in XML sitemap only — not individually verified this session,Listed in XML sitemap only — not individually verified this session,lastmod 2026-08-06
https://cashahnawaz.com/tax-guides/itr-7-filing-guide-trusts-ngos/,Blog/Article (Tax Guide),Tier 3,Yes,VERIFIED — loaded successfully (Batch C fetch); title and H1 both captured,DATA NOT AVAILABLE (no raw header tool),Meta robots NOT VISIBLE (tool limitation),NOT VISIBLE (tool limitation),"""ITR-7 Filing Guide For Trusts & NGOs | AY 2026-27 | CA Shahnawaz""","""ITR-7 Explained Simply: A Trustee's Guide to Filing, Form 10B/10BB & 80G Matching""",lastmod 2026-08-06; content vintage (references AY 2026-27, 1 April 2026 Act effective date) consistent with lastmod
https://cashahnawaz.com/tax-guides/gst-itc-relief-supplier/,Blog/Article (Tax Guide),Tier 3,No,NOT VERIFIED — Not attempted this phase.,DATA NOT AVAILABLE (no raw header tool),Listed in XML sitemap (not individually verified),Listed in XML sitemap only — not individually verified this session,Listed in XML sitemap only — not individually verified this session,Listed in XML sitemap only — not individually verified this session,lastmod 2026-08-06
https://cashahnawaz.com/tax-guides/partnership-firm-registration-maharashtra/,Blog/Article (Tax Guide),Tier 3,Yes,VERIFIED — loaded successfully (Batch C fetch); title and H1 both captured,DATA NOT AVAILABLE (no raw header tool),Meta robots NOT VISIBLE (tool limitation),NOT VISIBLE (tool limitation),"""Partnership Firm Registration In Maharashtra | CA Guide""","""Partnership Firm Registration Now Fully Online in Maharashtra (2026) — Why You Must Register | CA Shahnawaz & Associates""",lastmod 2026-08-06; content vintage (20 July 2026 Gazette publication) consistent with lastmod; topically related to the Partnership Registration priority-service coverage gap noted in priority-urls.md
https://cashahnawaz.com/tax-guides/income-tax-on-redevelopment-of-tenancy-property/,Blog/Article (Tax Guide),Tier 3,Yes,VERIFIED — loaded successfully (Batch C fetch); title and H1 both captured,DATA NOT AVAILABLE (no raw header tool),Meta robots NOT VISIBLE (tool limitation),NOT VISIBLE (tool limitation),"""Income Tax On Redevelopment Of Tenancy Property | Shahnawaz And Associates""","""Income Tax on Redevelopment of Tenancy Property""",lastmod 2026-08-06; content vintage consistent with lastmod
https://cashahnawaz.com/sachin-tendulkar-itat-section-80rr-case-study/,Blog/Article,Tier 3,Yes,PARTIALLY VERIFIED — loaded successfully (Batch C fetch); title not surfaced,DATA NOT AVAILABLE (no raw header tool),Meta robots NOT VISIBLE (tool limitation),NOT VISIBLE (tool limitation),NOT VISIBLE,"""Sachin Tendulkar ITAT Case Study: Section 80RR & Endorsement Income""",lastmod 2026-08-21; historical case (AY 2001-02 to 2004-05) recently published/updated per lastmod — normal for this content type
https://cashahnawaz.com/what-is-an-mis-report-definition-types-importance-and-benefits/,Blog/Article,Tier 3,Yes,PARTIALLY VERIFIED — loaded successfully (Batch C fetch); title not surfaced,DATA NOT AVAILABLE (no raw header tool),Meta robots NOT VISIBLE (tool limitation),NOT VISIBLE (tool limitation),NOT VISIBLE,"""What Is An MIS Report? Definition, Types, Importance And Benefits""",lastmod 2026-07-22; not date-sensitive tax content
https://cashahnawaz.com/when-can-i-expect-my-itr-refund/,Blog/Article,Tier 3,Yes,PARTIALLY VERIFIED — fetch completed but article body content was not returned on two attempts (weakest-evidence row in the sample),DATA NOT AVAILABLE (no raw header tool),Meta robots NOT VISIBLE (tool limitation),NOT VISIBLE (tool limitation),"Low-confidence only — a title string (""ITR Refund Status & Processing Time | A Complete Guide 2026"") appeared in a tool summary sentence, not confirmed as a literal <title> extraction",NOT VISIBLE,"lastmod 2026-07-07; recommend a follow-up fetch attempt before relying on this row for any content judgment"
https://cashahnawaz.com/form-10ab-delay-condonation-80g-approval/,Blog/Article,Tier 3,No,NOT VERIFIED — Not attempted this phase.,DATA NOT AVAILABLE (no raw header tool),Listed in XML sitemap (not individually verified),Listed in XML sitemap only — not individually verified this session,Listed in XML sitemap only — not individually verified this session,Listed in XML sitemap only — not individually verified this session,lastmod 2026-07-06
https://cashahnawaz.com/best-time-to-file-itr/,Blog/Article,Tier 3,No,NOT VERIFIED — Not attempted this phase.,DATA NOT AVAILABLE (no raw header tool),Listed in XML sitemap (not individually verified),Listed in XML sitemap only — not individually verified this session,Listed in XML sitemap only — not individually verified this session,Listed in XML sitemap only — not individually verified this session,lastmod 2026-06-24
https://cashahnawaz.com/gst-unsigned-orders-kerala-hc-2024/,Blog/Article (Case Law),Tier 3,Yes,PARTIALLY VERIFIED — loaded successfully (Batch C fetch); title not surfaced,DATA NOT AVAILABLE (no raw header tool),Meta robots NOT VISIBLE (tool limitation),NOT VISIBLE (tool limitation),NOT VISIBLE,"""Kerala HC on GST: Unsigned Assessment Orders Not Legally Valid | Fortune Service Case 2024""",lastmod 2026-06-23; content vintage (2017-2024 citations) consistent with lastmod
https://cashahnawaz.com/madras-high-court-gst-notice-service-judgment/,Blog/Article (Case Law),Tier 3,No,NOT VERIFIED — Not attempted this phase.,DATA NOT AVAILABLE (no raw header tool),Listed in XML sitemap (not individually verified),Listed in XML sitemap only — not individually verified this session,Listed in XML sitemap only — not individually verified this session,Listed in XML sitemap only — not individually verified this session,lastmod 2026-06-23
https://cashahnawaz.com/kerala-high-court-ima-gst-mutuality-judgment/,Blog/Article (Case Law),Tier 3,No,NOT VERIFIED — Not attempted this phase.,DATA NOT AVAILABLE (no raw header tool),Listed in XML sitemap (not individually verified),Listed in XML sitemap only — not individually verified this session,Listed in XML sitemap only — not individually verified this session,Listed in XML sitemap only — not individually verified this session,lastmod 2026-06-23
https://cashahnawaz.com/patna-high-court-gst-itc-bill-to-ship-to-judgment-2025/,Blog/Article (Case Law),Tier 3,No,NOT VERIFIED — Not attempted this phase.,DATA NOT AVAILABLE (no raw header tool),Listed in XML sitemap (not individually verified),Listed in XML sitemap only — not individually verified this session,Listed in XML sitemap only — not individually verified this session,Listed in XML sitemap only — not individually verified this session,lastmod 2026-06-23
https://cashahnawaz.com/patanjali-gst-penalty-case-hc-examines-section-122/,Blog/Article (Case Law),Tier 3,No,NOT VERIFIED — Not attempted this phase.,DATA NOT AVAILABLE (no raw header tool),Listed in XML sitemap (not individually verified),Listed in XML sitemap only — not individually verified this session,Listed in XML sitemap only — not individually verified this session,Listed in XML sitemap only — not individually verified this session,lastmod 2026-06-23
https://cashahnawaz.com/bombay-hc-gst-bank-recovery-notice/,Blog/Article (Case Law),Tier 3,No,NOT VERIFIED — Not attempted this phase.,DATA NOT AVAILABLE (no raw header tool),Listed in XML sitemap (not individually verified),Listed in XML sitemap only — not individually verified this session,Listed in XML sitemap only — not individually verified this session,Listed in XML sitemap only — not individually verified this session,lastmod 2026-06-23
https://cashahnawaz.com/allahabad-hc-gst-assessment-quashed/,Blog/Article (Case Law),Tier 3,Yes,VERIFIED — loaded successfully (Batch C fetch); title and H1 both captured,DATA NOT AVAILABLE (no raw header tool),Meta robots NOT VISIBLE (tool limitation),NOT VISIBLE (tool limitation),"""Allahabad HC Quashes GST Assessment | Shahnawaz and Associates""","""Allahabad HC Quashes GST Assessment for Lack of Notice""",lastmod 2026-06-23; content vintage (2019/2025 dates) consistent with lastmod
https://cashahnawaz.com/bombay-hc-cross-state-itc-transfer/,Blog/Article (Case Law),Tier 3,No,NOT VERIFIED — Not attempted this phase.,DATA NOT AVAILABLE (no raw header tool),Listed in XML sitemap (not individually verified),Listed in XML sitemap only — not individually verified this session,Listed in XML sitemap only — not individually verified this session,Listed in XML sitemap only — not individually verified this session,lastmod 2026-06-23
https://cashahnawaz.com/gujarat-hc-gst-demand-dissolved-company/,Blog/Article (Case Law),Tier 3,No,NOT VERIFIED — Not attempted this phase.,DATA NOT AVAILABLE (no raw header tool),Listed in XML sitemap (not individually verified),Listed in XML sitemap only — not individually verified this session,Listed in XML sitemap only — not individually verified this session,Listed in XML sitemap only — not individually verified this session,lastmod 2026-06-23
https://cashahnawaz.com/madras-hc-composite-gst-scn-judgment/,Blog/Article (Case Law),Tier 3,No,NOT VERIFIED — Not attempted this phase.,DATA NOT AVAILABLE (no raw header tool),Listed in XML sitemap (not individually verified),Listed in XML sitemap only — not individually verified this session,Listed in XML sitemap only — not individually verified this session,Listed in XML sitemap only — not individually verified this session,lastmod 2026-06-23
https://cashahnawaz.com/sikkim-hc-refund-itc-business-closure/,Blog/Article (Case Law),Tier 3,No,NOT VERIFIED — Not attempted this phase.,DATA NOT AVAILABLE (no raw header tool),Listed in XML sitemap (not individually verified),Listed in XML sitemap only — not individually verified this session,Listed in XML sitemap only — not individually verified this session,Listed in XML sitemap only — not individually verified this session,lastmod 2026-06-23
https://cashahnawaz.com/gst-cash-credit-account-relief-bombay-hc/,Blog/Article (Case Law),Tier 3,No,NOT VERIFIED — Not attempted this phase.,DATA NOT AVAILABLE (no raw header tool),Listed in XML sitemap (not individually verified),Listed in XML sitemap only — not individually verified this session,Listed in XML sitemap only — not individually verified this session,Listed in XML sitemap only — not individually verified this session,lastmod 2026-06-23
https://cashahnawaz.com/patna-high-court-section-77-gst-refund-wrong-head-tax-payment/,Blog/Article (Case Law),Tier 3,No,NOT VERIFIED — Not attempted this phase.,DATA NOT AVAILABLE (no raw header tool),Listed in XML sitemap (not individually verified),Listed in XML sitemap only — not individually verified this session,Listed in XML sitemap only — not individually verified this session,Listed in XML sitemap only — not individually verified this session,lastmod 2026-06-23
