Service,Service Group,Dedicated Page Status,Existing URL,Search Intent,Content Quality,Conversion Readiness,Overlap Risk,Recommended Action,Priority
Statutory Audit,Audit,DEDICATED AND ADEQUATE,https://cashahnawaz.com/audit-services/,LIKELY USER SEARCH INTENT - matches company/LLP statutory audit requirement search,Deep - dedicated applicability + vs-tax-audit comparison section,Adequate - same forms as Tax Audit,POSSIBLE CONTENT OVERLAP - shares URL/title with Tax Audit (title-tag dilution risk for on-page-seo phase),No content gap; flag shared-URL keyword targeting for on-page-seo phase,LOW PRIORITY
Internal Audit,Audit,NO DEDICATED PAGE FOUND,N/A (thin mention on https://cashahnawaz.com/audit-services/),LIKELY USER SEARCH INTENT - Section 138-mandated companies seeking eligibility/process/deliverables,Thin - single comparison-table row only; no dedicated section unlike Tax/Statutory Audit,Weak - no Internal-Audit-specific CTA framing,None substantive - mention too thin to create overlap risk,Add dedicated Internal Audit section/subpage with applicability/process/deliverables depth,HIGH PRIORITY
Company Registration (Private Limited),Registration & Compliance,NO DEDICATED PAGE FOUND,N/A,LIKELY USER SEARCH INTENT - likely highest-volume registration search; entity type dominant among Indian SMEs,N/A - Public Limited Company page explicitly does not cover Pvt Ltd formation procedure; Startup Registration page only lists it as one of three brief options,Weak - generic 'Company Incorporation'/'Business Registration' dropdown catch-alls only, no Pvt-Ltd-specific option,None substantive found after checking both plausible candidate pages,Content brief for dedicated Private Limited Company Registration page; add matching dropdown option,CRITICAL
LLP Registration,Registration & Compliance,NO DEDICATED PAGE FOUND,N/A,LIKELY USER SEARCH INTENT - formation intent distinct from LLP Annual Filing's compliance intent,N/A - confirmed /llp-annual-filing/ is compliance-only, not formation,Moderate - dropdown has explicit 'LLP Registration' option (lead-trackable) despite no landing page,None - confirmed no formation content on LLP Annual Filing page,Content brief for dedicated LLP Registration/formation page, cross-linked with LLP Annual Filing,HIGH PRIORITY
Partnership Registration,Registration & Compliance,NO DEDICATED PAGE FOUND,N/A (informational article only: https://cashahnawaz.com/tax-guides/partnership-firm-registration-maharashtra/),LIKELY USER SEARCH INTENT - transactional searchers better served by a service page with CTAs than a blog article,N/A for service page; blog article exists but not independently re-verified this session,Weaker - blog-template forms are generic, not service-page-forward,None substantive,Content brief for dedicated service page; cross-link with existing tax-guide article,MEDIUM PRIORITY
Proprietorship Registration,Registration & Compliance,NO DEDICATED PAGE FOUND,N/A,LIKELY USER SEARCH INTENT - plausibly highest local search volume given simplest/most common small-business structure in Mumbai,N/A - confirmed absent even from Startup Registration page's entity-type list,Weakest of all Registration gaps - no page and no matching dropdown option,None found,Content brief for dedicated Proprietorship Registration page; add matching dropdown option,HIGH PRIORITY
Startup Registration,Registration & Compliance,DEDICATED AND ADEQUATE,https://cashahnawaz.com/startup-registration-india/,LIKELY USER SEARCH INTENT - matches startup registration search well,Adequate - overview/benefits/checklist/process/FAQ structure confirmed,Adequate - forms present,None harmful - brief entity-structure mentions don't duplicate or substitute for dedicated entity pages,No action needed,LOW PRIORITY
NGO Registration,Registration & Compliance,DEDICATED AND ADEQUATE,https://cashahnawaz.com/section-8-company-registration/ and https://cashahnawaz.com/12a-or-12aa-or-80g-registration-new-scheme/,LIKELY USER SEARCH INTENT - two pages accurately map to real two-step NGO formation + tax-exemption lifecycle,Deep on both pages,Adequate - forms present on both,Low - complementary two-step coverage, not duplication (12A page explicitly cross-references Section 8 step),No action needed,LOW PRIORITY
ROC Compliance,Registration & Compliance,NO DEDICATED PAGE FOUND,N/A (LLP-side only covered at https://cashahnawaz.com/llp-annual-filing/),LIKELY USER SEARCH INTENT - recurring deadline-driven company-side ROC filing search unaddressed,Adequate for LLP side only; none for Company side,Dropdown has 'Private Limited Company Annual Compliances'/'Annual Compliance for OPC' options but no landing page,POSSIBLE CONTENT OVERLAP with Company Compliance and Annual Compliance - recommend consolidated planning,Content brief for Company ROC Compliance (AOC-4/MGT-7), cross-linked with LLP Annual Filing,HIGH PRIORITY
Company Compliance,Registration & Compliance,NO DEDICATED PAGE FOUND,N/A,LIKELY USER SEARCH INTENT - broad recurring-engagement search matching demonstrated dropdown-captured demand,N/A,Dropdown-only - 'Private Limited Company Annual Compliances'/'Annual Compliance for OPC'/'Section-8 Annual Compliance' options exist with zero landing page,POSSIBLE CONTENT OVERLAP with ROC Compliance and Annual Compliance - recommend consolidated planning,Content brief for Company Compliance page or entity-specific subpage cluster,HIGH PRIORITY
Annual Compliance,Registration & Compliance,EXISTS UNDER DIFFERENT SERVICE/URL (LLP only) / NO DEDICATED PAGE FOUND (other entities),https://cashahnawaz.com/llp-annual-filing/ (LLP portion only),LIKELY USER SEARCH INTENT - recurring deadline-anxiety-driven search; LLP portion well served, other entities not,Adequate for LLP only,Adequate for LLP; dropdown-only for Pvt Ltd/OPC/Section-8,POSSIBLE CONTENT OVERLAP with ROC Compliance and Company Compliance - same underlying gap named three ways,Consolidate with Company Compliance content brief rather than three separate thin pages; cross-link with LLP Annual Filing,MEDIUM PRIORITY
